-583	-1167	-103	
-887	-919	-45	
-1007	-727	7	
-1015	-607	49	
-967	-599	73	
-951	-607	89	
-967	-655	73	
-991	-671	51	
-975	-759	-5	
-903	-855	-77	
-711	-951	-141	
-295	-1039	-217	
209	-1015	-229	
521	-1039	-165	
721	-1071	-53	
721	-1039	39	
609	-983	119	
449	-999	147	
273	-1119	143	
105	-1023	195	
81	-727	243	
161	-519	251	
225	-343	243	
313	-239	233	
329	-231	227	
265	-327	245	
209	-423	249	
33	-735	235	
-143	-887	207	
-375	-1119	117	
-447	-1247	-65	
-415	-1023	-207	
-255	-631	-279	
49	-303	-287	
161	-263	-283	
41	-439	-295	
-167	-695	-277	
-375	-975	-217	
-495	-1215	-61	
-415	-1135	113	
-351	-919	181	
-319	-943	189	
-359	-999	161	
-327	-1247	31	
-159	-1311	-63	
89	-1303	-89	
209	-1271	-83	
145	-1279	-83	
-103	-1271	-111	
-399	-1231	-77	
-559	-1207	-33	
-607	-1159	21	
-567	-1119	103	
-495	-991	165	
-463	-751	211	
-439	-575	235	
-495	-447	237	
-495	-359	239	
-431	-351	251	
-303	-415	255	
-295	-583	245	
-367	-903	195	
-415	-1079	137	
-527	-1055	131	
-711	-975	85	
-839	-919	43	
-943	-799	25	
-1047	-431	17	
-1047	-191	-7	
-943	17	41	
-711	257	119	
-623	273	141	
-655	209	141	
-735	41	133	
-863	-79	123	
-839	-295	139	
-799	-551	155	
-599	-783	185	
-463	-855	185	
-391	-823	193	
-431	-807	197	
-511	-871	173	
-639	-887	141	
-815	-879	91	
-911	-799	51	
-967	-711	21	
-1039	-583	15	
-1031	-535	21	
-1031	-471	39	
-1023	-399	67	
-967	-327	79	
-951	-255	103	
-847	-159	147	
-719	-47	171	
-631	17	189	
-559	41	185	
-583	-47	197	
-631	-135	199	
-607	-239	205	
-703	-335	185	
-759	-311	169	
-855	-287	137	
-935	-223	91	
-991	-207	53	
-1023	-183	23	
-991	-135	21	
-967	-87	61	
-855	-71	127	
-671	-31	177	
-639	-47	185	
-647	-127	189	
-719	-231	177	
-815	-263	153	
-903	-255	125	
-951	-247	99	
-991	-239	67	
-1007	-231	47	
-1015	-207	47	
-999	-167	59	
-959	-175	77	
-943	-167	95	
-959	-167	77	
-1031	-199	31	
-1063	-335	-7	
-1055	-479	-35	
-1047	-487	-75	
-1031	-407	-83	
-1023	-231	-87	
-975	-79	-77	
-967	-39	-59	
-1047	-215	-21	
-1047	-367	27	
-927	-575	103	
-543	-535	215	
-135	-343	255	
105	-167	243	
313	1	213	
545	17	183	
769	-87	145	
921	-295	101	
1025	-551	43	
993	-791	-15	
857	-903	-77	
721	-991	-107	
697	-967	-139	
649	-983	-145	
577	-1015	-153	
329	-1191	-137	
-143	-1271	-121	
-615	-1039	-147	
-847	-727	-153	
-967	-447	-127	
-1023	-311	-75	
-1047	-311	-25	
-1039	-319	13	
-1055	-383	3	
-1007	-655	-5	
-895	-839	45	
-695	-1047	53	
-535	-1159	83	
-455	-1023	153	
-759	-615	155	
-943	-431	101	
-1047	-335	17	
-1063	-319	-47	
-1055	-311	-77	
-1015	-327	-99	
-1031	-383	-95	
-1031	-535	-83	
-1055	-599	-59	
-1047	-639	-11	
-991	-615	65	
-919	-647	109	
-975	-583	93	
-1055	-519	21	
-1063	-431	-63	
-983	-351	-123	
-887	-247	-153	
-911	-231	-155	
-943	-191	-127	
-1031	-135	-61	
-1039	-111	13	
-967	-119	73	
-903	-15	89	
-895	33	79	
-831	49	83	
-775	25	119	
-767	49	107	
-879	-135	103	
-1031	-383	35	
-1039	-559	-13	
-1015	-679	-47	
-967	-759	-55	
-967	-823	-19	
-943	-791	37	
-847	-871	75	
-743	-919	93	
-807	-895	87	
-887	-735	91	
-1007	-511	53	
-1015	-215	39	
-927	17	47	
-735	193	71	
-639	249	77	
-583	265	85	
-631	201	111	
-783	25	117	
-855	-215	135	
-871	-559	129	
-679	-927	119	
-607	-1047	91	
-575	-1151	29	
-399	-1231	-75	
-335	-1207	-141	
-343	-1127	-173	
-279	-1111	-199	
-223	-1071	-209	
-135	-1151	-187	
-151	-1311	-83	
-79	-1335	-3	
-55	-1159	133	
-103	-991	187	
-7	-903	193	
97	-847	203	
281	-855	181	
417	-863	177	
465	-831	163	
465	-855	159	
553	-927	131	
553	-1039	75	
537	-1135	37	
585	-1135	-21	
641	-1119	-69	
625	-1103	-113	
553	-1063	-185	
425	-1023	-225	
393	-991	-233	
401	-1015	-225	
449	-1055	-213	
465	-1119	-165	
433	-1231	-95	
385	-1247	-31	
337	-1255	27	
225	-1215	91	
145	-1071	165	
97	-911	207	
217	-703	225	
409	-487	219	
641	-319	189	
961	-239	87	
1065	-303	-39	
993	-567	-129	
713	-703	-219	
713	-623	-213	
873	-535	-169	
1049	-391	-89	
1057	-279	21	
961	-455	109	
697	-679	167	
521	-863	165	
313	-1031	155	
137	-1103	143	
57	-1143	131	
49	-1199	123	
81	-1159	147	
105	-1087	171	
137	-1079	179	
145	-1039	185	
129	-927	209	
105	-799	233	
25	-711	239	
9	-679	237	
97	-679	239	
105	-583	237	
265	-295	229	
465	-87	189	
641	113	121	
817	217	17	
953	1	-55	
961	-295	-127	
793	-495	-207	
689	-551	-227	
769	-479	-205	
897	-383	-143	
1017	-183	-19	
937	-207	101	
777	-343	173	
513	-559	209	
393	-767	197	
297	-991	159	
209	-1135	123	
233	-1175	113	
201	-1215	111	
185	-1143	155	
193	-1159	161	
185	-1087	183	
129	-935	227	
49	-863	243	
17	-775	249	
-23	-663	255	
-55	-607	257	
-47	-583	251	
-7	-647	239	
-39	-511	251	
41	-343	247	
305	-63	209	
561	201	135	
729	241	47	
953	25	-3	
1057	-343	-99	
937	-487	-181	
753	-527	-233	
649	-527	-243	
609	-527	-241	
681	-519	-233	
801	-543	-191	
849	-615	-163	
857	-615	-149	
801	-639	-185	
609	-775	-213	
417	-1055	-191	
553	-1007	-213	
793	-943	-201	
1121	-823	-157	
1249	-503	-43	
1057	-287	29	
953	-255	133	
585	-391	217	
305	-639	235	
153	-775	223	
-39	-903	209	
-223	-991	179	
-359	-999	167	
-431	-959	177	
-543	-735	199	
-647	-575	201	
-695	-391	203	
-711	-215	193	
-727	-119	187	
-727	-63	197	
-623	-95	195	
-535	-231	219	
-383	-359	239	
-143	-391	251	
73	-303	249	
193	-191	231	
305	-23	213	
337	49	197	
337	89	195	
329	81	195	
361	9	203	
385	-103	215	
321	-351	233	
169	-783	223	
-103	-1023	179	
-391	-1127	115	
-607	-1103	71	
-799	-967	61	
-935	-759	67	
-1015	-447	67	
-983	-231	73	
-927	-127	91	
-863	-87	131	
-847	-159	143	
-799	-263	161	
-695	-463	191	
-519	-519	209	
-455	-543	215	
-511	-591	209	
-607	-623	189	
-743	-679	149	
-823	-623	143	
-847	-487	155	
-807	-407	167	
-727	-511	177	
-719	-751	165	
-751	-1047	47	
-727	-1087	-83	
-759	-895	-159	
-759	-727	-191	
-823	-559	-181	
-895	-471	-167	
-919	-359	-163	
-927	-295	-155	
-975	-303	-121	
-1031	-319	-93	
-1039	-375	-59	
-1055	-431	-21	
-1015	-551	37	
-919	-719	91	
-623	-903	163	
-335	-943	203	
-215	-895	211	
-383	-831	191	
-503	-791	181	
-599	-807	165	
-727	-815	137	
-759	-871	123	
-735	-879	133	
-671	-919	139	
-799	-887	93	
-903	-847	35	
-983	-743	5	
-1047	-591	-27	
-1071	-487	-37	
-1087	-407	-41	
-1039	-279	-45	
-1055	-199	-45	
-1039	-167	-31	
-1063	-255	-19	
-1055	-551	-1	
-903	-927	3	
-791	-927	93	
-695	-871	159	
-543	-767	199	
-519	-647	203	
-559	-583	199	
-519	-583	203	
-551	-791	191	
-519	-943	169	
-487	-927	171	
-671	-911	147	
-871	-751	135	
-983	-439	121	
-1031	-271	101	
-1007	-119	79	
-1023	-87	67	
-1055	-239	63	
-1047	-519	63	
-927	-807	69	
-727	-1047	87	
-279	-1135	155	
89	-1079	187	
337	-863	203	
401	-655	225	
393	-471	229	
473	-375	213	
